maze_title,maze_algorithm,maze_height,maze_width,path_length,nodes_available,iterations,policy_changes,states_evaluated,execution_time,is_solution_found,current_memory,peak_memory,current_memory_mb,peak_memory_mb,nodes_explored
maze15,MDP_POLICY,15,15,43,101,10.0,41.0,49852.0,7.7973198890686035,True,19390,22752,0.0184917449951171,0.021697998046875,
maze11,MDP_POLICY,11,11,25,49,7.0,16.0,13515.0,1.1156089305877686,True,10131,13005,0.0096616744995117,0.0124025344848632,
maze59,MDP_POLICY,59,59,0,1819,9.0,308.0,797598.0,1792.764904975891,False,195506,326141,0.1864490509033203,0.3110322952270508,
maze21,MDP_POLICY,21,21,37,211,14.0,94.0,143136.0,41.918050050735474,True,30614,42311,0.0291957855224609,0.0403509140014648,
maze19,MDP_POLICY,19,19,49,169,10.0,64.0,81396.0,21.761454105377197,True,30950,40799,0.0295162200927734,0.0389089584350585,
maze25,MDP_POLICY,25,25,73,305,10.0,115.0,153500.0,62.56988906860352,True,36902,45825,0.0351924896240234,0.0437021255493164,
maze31,MDP_VALUE,31,31,93,481,73.0,,35259.0,93.29773902893066,True,59445,72205,0.0566911697387695,0.0688600540161132,
maze45,MDP_POLICY,45,45,0,1043,15.0,356.0,783750.0,986.0777516365052,False,106789,170537,0.101841926574707,0.1626367568969726,
maze15,MDP_VALUE,15,15,43,101,34.0,,3502.0,2.0392749309539795,True,17029,20335,0.016240119934082,0.019392967224121,
maze25,MDP_VALUE,25,25,73,305,59.0,,18113.0,32.195271253585815,True,34469,39407,0.032872200012207,0.037581443786621,
maze7,MDP_POLICY,7,7,13,15,3.0,2.0,1853.0,0.0572092533111572,True,3859,5013,0.0036802291870117,0.0047807693481445,
maze45,MDP_VALUE,45,45,0,1043,79.0,,82555.0,475.81068301200867,False,104324,126765,0.0994911193847656,0.1208925247192382,
maze11,MDP_VALUE,11,11,25,49,21.0,,1071.0,0.3173010349273681,True,8899,11693,0.0084867477416992,0.0111513137817382,
maze19,MDP_VALUE,19,19,49,169,41.0,,7011.0,6.600689888000488,True,28517,32367,0.027195930480957,0.030867576599121,
maze31,MDP_POLICY,31,31,93,481,18.0,133.0,434700.0,302.3016052246094,True,61878,83569,0.0590114593505859,0.0796976089477539,
maze7,MDP_VALUE,7,7,13,15,11.0,,187.0,0.0217978954315185,True,3411,4509,0.0032529830932617,0.0043001174926757,
maze21,MDP_VALUE,21,21,37,211,37.0,,7881.0,9.441901922225952,True,28181,32511,0.0268754959106445,0.0310049057006835,
maze59,MDP_VALUE,59,59,0,1819,104.0,,189384.0,1916.1175837516785,False,195628,244870,0.1865653991699218,0.2335262298583984,
